Days on Zillow,Status,Price,Zipcode,House Size,Lot Size,Year Built,Schools Rating,Rent Estimate
0,House for sale,787500,77868,1012,978706,1974,4,1895
0,House for sale,149900,77363,760,7480,1995,4,1192
0,House for sale,299900,77363,1480,221720,1995,4,2110
12,House for sale,499000,77356,1833,130680,1974,6.7,1615
0,House for sale,549900,77356,2282,10483,2015,6.7,2124
14,House for sale,419900,77356,1200,34974,1978,6.7,1881
0,House for sale,629000,77316,1638,179162,1960,6.7,3873
0,House for sale,209000,77316,1332,14200,1961,6.7,1374
5,House for sale,459900,77356,2380,11067,1998,6.4,2199
0,House for sale,300000,77316,2001,7200,2019,6.4,1963
0,House for sale,450000,77356,2561,8958,1996,6.7,2177
0,House for sale,295000,77356,1585,19310,2003,6.7,1788
3,House for sale,535000,77356,3108,8918,2014,6.7,3317
7,House for sale,489000,77356,3114,11971,1980,6.4,1374
3,House for sale,749900,77356,2836,5280,1977,6.7,3614
5,House for sale,250000,77356,1500,3600,1998,6.4,1749
4,House for sale,749900,77356,2844,9376,1977,6.7,3498
0,House for sale,510000,77356,2614,5368,2014,6.4,1895
0,House for sale,550000,77356,3061,6500,1977,6.7,2499
66,New construction,334000,77356,3873,12041,1995,6.4,5560
0,House for sale,349000,77356,1966,8400,1999,6.7,1895
24,House for sale,329900,77356,1836,6499,2004,6.7,1849
3,House for sale,489900,77356,2846,6780,2013,6.7,2940
0,House for sale,269900,77356,1416,4133,2000,6.4,1666
0,House for sale,259000,77356,1905,7840,2004,6.7,1795
0,House for sale,250000,77316,1310,6250,2019,6.7,1461
0,House for sale,595000,77356,2610,7500,1984,6.7,3543
0,House for sale,199000,77316,1324,2100,2019,6.4,1500
26,House for sale,299000,77356,1427,3600,2001,6.4,1895
0,House for sale,295000,77356,1640,13182,1999,6.7,1806
59,House for sale,279900,77356,1708,5744,2007,6.4,1792
0,House for sale,424900,77356,2799,10824,2002,6.7,2199
0,House for sale,569000,77356,4070,18228,1988,6.4,3335
0,House for sale,725000,77356,2784,5465,1999,6.7,4092
34,House for sale,445000,77356,4123,8175,2000,6.7,3189
42,House for sale,439900,77356,2688,7200,1994,6.7,2588
0,House for sale,374900,77356,2084,7738,2004,6.7,1922
74,House for sale,249900,77316,1088,2100,2018,6.4,1425
18,House for sale,579500,77356,3108,10496,1996,6.4,2366
0,House for sale,849900,77356,2993,5250,1983,6.7,3657
25,House for sale,599500,77316,1931,88161,1998,6.7,1846
0,House for sale,495000,77316,928,47480,1996,6.4,1501
104,New construction,184900,77316,2080,2100,1999,6.4,1843
9,House for sale,300000,77304,1917,9739,2002,5.7,1831
0,House for sale,305000,77304,1593,4729,2020,5.7,2006
0,House for sale,320000,77304,2256,7234,2020,5.7,2045
0,House for sale,349999,77356,2261,13388,1987,6.4,2127
0,House for sale,309900,77304,2638,23205,1973,5.5,1848
7,House for sale,525000,77304,3032,12102,2007,5.7,2472
1,House for sale,499900,77316,1964,19860,1980,6.7,1599
3,House for sale,285000,77304,2184,5506,2004,5.7,2115
0,House for sale,450000,77304,1980,125888,1995,5,1997
