SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,500000,4,3.5,Colony Meadows,3213,8395,1990,37,156,68,Active,,,HARMLS,49019666,N,Y,29.5834648,-95.6240895
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,575000,3,3,Telfair,2370,10110,2010,85,243,156,Active,,,HARMLS,33909372,N,Y,29.580533,-95.6633995
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,490000,4,2.5,Sugar Creek,2625,9526,1977,1,187,54,Active,,,HARMLS,38815610,N,Y,29.6120546,-95.6044648
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,400000,4,3.5,Waterford,3309,8634,1982,1,121,51,Active,,,HARMLS,66046031,N,Y,29.6685386,-95.6458361
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,746000,5,3.5,Telfair,3573,12229,2009,1,209,67,Active,October-23-2022 01:00 PM,October-23-2022 03:00 PM,HARMLS,3168397,N,Y,29.6009418,-95.6569076
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,289990,4,2,Covington West,2067,7273,1977,1,140,4,Active,,,HARMLS,77176567,N,Y,29.6449253,-95.6318508
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,575000,4,3.5,Lake Pointe,3011,8038,1993,1,191,97,Active,October-23-2022 02:00 PM,October-23-2022 04:00 PM,HARMLS,76084336,N,Y,29.5945736,-95.6633584
MLS Listing,,Single Family Residential,The Meadows,TX,77477,319990,3,2,Meadows,1676,,1974,1,191,,Active,,,HARMLS,27701396,N,Y,29.6568479,-95.5963787
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,1499000,6,5.5,Avalon At Riverstone,5510,10914,2016,1,272,151,Active,,,HARMLS,14692321,N,Y,29.542669,-95.608283
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,498990,5,3.5,Eldridge Lake,3743,7054,2003,1,133,60,Active,,,HARMLS,64980853,N,Y,29.6606337,-95.6131566
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,415000,4,2.5,Woodstream Sec 2,2380,9362,1982,1,174,70,Active,,,HARMLS,73383740,N,Y,29.5814993,-95.6235967
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,770000,4,3.5,Brookside At Riverstone,4309,14257,2007,1,179,93,Active,October-23-2022 12:00 PM,October-23-2022 02:00 PM,HARMLS,53037862,N,Y,29.5517183,-95.5759427
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,669000,4,3.5,Edgewood At Riverstone Sec 1,4145,8750,2012,1,161,93,Active,,,HARMLS,83312619,N,Y,29.5391029,-95.5768659
