addressLine1	bathrooms	bedrooms	city	county	createdDate	daysOnMarket	formattedAddress	id	lastSeen	latitude	listedDate	longitude	lotSize	price	propertyType	rawAddress	removedDate	squareFootage	state	status	yearBuilt	zipCode
5727 Cerritos Dr	2	3	Houston	Harris County	2022-08-05T14:00:17.440Z	88	5727 Cerritos Dr, Houston, TX 77035	5727-Cerritos-Dr,-Houston,-TX-77035	2022-10-24T14:55:19.410Z	29.650931	2022-07-29T05:29:33.000Z	-95.488234	8520	313000	Single Family	5727 Cerritos Dr, Houston, TX 77035		2020	TX	Active	1960	77035
4211 San Leo Ct	3	4	Katy	Harris County	2022-08-05T16:46:59.451Z	88	4211 San Leo Ct, Katy, TX 77449	4211-San-Leo-Ct,-Katy,-TX-77449	2022-10-24T14:55:19.410Z	29.835257	2022-07-29T07:02:33.000Z	-95.773015		422490	Single Family	4211 San Leo Ct, Katy, TX 77449		2255	TX	Active		77449
9832 Rugged Oaks Dr	2.5	3	Houston	Harris County	2022-08-05T15:47:55.818Z	88	9832 Rugged Oaks Dr, Houston, TX 77080	9832-Rugged-Oaks-Dr,-Houston,-TX-77080	2022-10-24T14:55:19.409Z	29.827636	2022-07-29T08:51:20.000Z	-95.541277		368640	Single Family	9832 Rugged Oaks Dr, Houston, TX 77080		1650	TX	Active		77080
9823 Resting Ridge Ln	2.5	3	Houston	Harris County	2022-08-05T14:57:23.283Z	88	9823 Resting Ridge Ln, Houston, TX 77080	9823-Resting-Ridge-Ln,-Houston,-TX-77080	2022-10-24T14:55:19.409Z	29.827636	2022-07-29T08:51:20.000Z	-95.541277		382840	Single Family	9823 Resting Ridge Ln, Houston, TX 77080		1650	TX	Active		77080
4605 Nett St	3.5	3	Houston	Harris County	2022-08-05T14:00:17.424Z	88	4605 Nett St, Houston, TX 77007	4605-Nett-St,-Houston,-TX-77007	2022-10-24T14:55:19.408Z	29.771812	2022-07-29T13:12:44.000Z	-95.407557	1590	565000	Single Family	4605 Nett St, Houston, TX 77007		2380	TX	Active	2019	77007
6955 Turtlewood Dr	1	1	Houston	Harris County	2022-08-05T14:00:17.419Z	88	6955 Turtlewood Dr, Unit 520, Houston, TX 77072	6955-Turtlewood-Dr,-Unit-520,-Houston,-TX-77072	2022-10-24T14:55:19.408Z	29.701013	2022-07-29T14:06:52.000Z	-95.566803	56869	252000	Condo	6955 Turtlewood Dr Unit 520, Houston, TX 77072		640	TX	Active	2019	77072
9831 Heritage Run Ln	2.5	3	Houston	Harris County	2022-08-05T16:46:59.451Z	88	9831 Heritage Run Ln, Houston, TX 77080	9831-Heritage-Run-Ln,-Houston,-TX-77080	2022-10-24T14:55:19.408Z	29.827636	2022-07-29T08:51:20.000Z	-95.541277		399135	Single Family	9831 Heritage Run Ln, Houston, TX 77080		1771	TX	Active		77080
6206 Sugar Hill Dr	2.5	4	Houston	Harris County	2022-08-05T14:00:17.422Z	88	6206 Sugar Hill Dr, Houston, TX 77057	6206-Sugar-Hill-Dr,-Houston,-TX-77057	2022-10-24T14:55:19.408Z	29.755679	2022-07-29T13:51:14.000Z	-95.493013	10850	1360000	Single Family	6206 Sugar Hill Dr, Houston, TX 77057		2684	TX	Active	1958	77057
526 Hunters Den Dr	2.5	4	Houston	Harris County	2022-08-05T14:00:17.414Z	88	526 Hunters Den Dr, Houston, TX 77079	526-Hunters-Den-Dr,-Houston,-TX-77079	2022-10-24T14:55:19.407Z	29.766021	2022-07-29T14:24:53.000Z	-95.603311	8621	775000	Single Family	526 Hunters Den Dr, Houston, TX 77079		2496	TX	Active	1965	77079
10702 Duane St	3	3	Houston	Harris County	2021-09-16T16:53:47.680Z	87	10702 Duane St, Houston, TX 77047	10702-Duane-St,-Houston,-TX-77047	2022-10-24T14:55:19.407Z	29.643319	2022-07-29T16:31:06.000Z	-95.357603	7558	210000	Single Family	10702 Duane St, Houston, TX 77047		1600	TX	Active	1960	77047
705 Main St	1	1	Houston	Harris County	2022-08-05T14:00:17.418Z	88	705 Main St, Unit 409, Houston, TX 77002	705-Main-St,-Unit-409,-Houston,-TX-77002	2022-10-24T14:55:19.407Z	29.758713	2022-07-29T14:06:52.000Z	-95.362868		229900	Condo	705 Main St Unit 409, Houston, TX 77002		851	TX	Active	1921	77002
5656 San Felipe St	3	2	Houston	Harris County	2022-08-05T14:00:11.354Z	87	5656 San Felipe St, Unit 803, Houston, TX 77056	5656-San-Felipe-St,-Unit-803,-Houston,-TX-77056	2022-10-24T14:55:19.406Z	29.750515	2022-07-29T15:21:30.000Z	-95.476477		1715000	Condo	5656 San Felipe St Unit 803, Houston, TX 77056		2030	TX	Active	2023	77056
1112 Bering Dr	2.5	2	Houston	Harris County	2022-08-05T14:00:17.414Z	88	1112 Bering Dr, Apt 67, Houston, TX 77057	1112-Bering-Dr,-Apt-67,-Houston,-TX-77057	2022-10-24T14:55:19.406Z	29.754025	2022-07-29T14:32:28.000Z	-95.479877	1183	255000	Townhouse	1112 Bering Dr Apt 67, Houston, TX 77057		1610	TX	Active	1980	77057
909 W 35th St	3.5	4	Houston	Harris County	2022-09-05T14:17:41.594Z	88	909 W 35th St, Unit B, Houston, TX 77018	909-W-35th-St,-Unit-B,-Houston,-TX-77018	2022-10-24T14:55:19.406Z	29.819849	2022-07-29T14:21:53.000Z	-95.420732		575000	Single Family	909 W 35th St Unit B, Houston, TX 77018		2706	TX	Active	2022	77018
24327 Hyland Greens Ln	2	3	Spring	Harris County	2022-08-05T14:00:17.414Z	88	24327 Hyland Greens Ln, Spring, TX 77373	24327-Hyland-Greens-Ln,-Spring,-TX-77373	2022-10-24T14:55:19.406Z	30.110404	2022-07-29T14:24:53.000Z	-95.433175	5837	249900	Single Family	24327 Hyland Greens Ln, Spring, TX 77373		1615	TX	Active	2000	77373
10534 Paula Bluff Ln	2	4	Cypress	Harris County	2022-08-05T14:00:17.413Z	88	10534 Paula Bluff Ln, Cypress, TX 77433	10534-Paula-Bluff-Ln,-Cypress,-TX-77433	2022-10-24T14:55:19.405Z	29.932949	2022-07-29T14:41:22.000Z	-95.72176	7231	399000	Single Family	10534 Paula Bluff Ln, Cypress, TX 77433		2572	TX	Active	2017	77433
2903 Prairie Hill Ct	2.5	4	Houston	Harris County	2022-08-05T14:00:11.353Z	87	2903 Prairie Hill Ct, Houston, TX 77059	2903-Prairie-Hill-Ct,-Houston,-TX-77059	2022-10-24T14:55:19.404Z	29.601141	2022-07-29T15:21:30.000Z	-95.138186	8686	364900	Single Family	2903 Prairie Hill Ct, Houston, TX 77059		2725	TX	Active	1993	77059
204 Marshall St	2.5	2	Houston	Harris County	2022-08-05T14:00:11.346Z	87	204 Marshall St, Unit 4, Houston, TX 77006	204-Marshall-St,-Unit-4,-Houston,-TX-77006	2022-10-24T14:55:19.403Z	29.739403	2022-07-29T16:13:00.000Z	-95.385276	1095	375000	Townhouse	204 Marshall St Unit 4, Houston, TX 77006		1741	TX	Active	1984	77006
