addressLine1	bathrooms	bedrooms	city	county	createdDate	daysOnMarket	formattedAddress	id	lastSeen	latitude	listedDate	longitude	lotSize	price	propertyType	rawAddress	removedDate	squareFootage	state	status	yearBuilt	zipCode
1203 Crocker St	3.5	4	Houston	Harris County	2022-10-15T14:53:44.707Z	87	1203 Crocker St, Unit B, Houston, TX 77019	1203-Crocker-St,-Unit-B,-Houston,-TX-77019	2022-10-23T14:56:00.558Z	29.755979	2022-07-28T16:36:27.000Z	-95.389502	2500	699000	Single Family	1203 Crocker St Unit B, Houston, TX 77019		3085	TX	Active	2022	77019
428 Wilcrest Dr	2.5	2	Houston	Harris County	2022-08-05T14:29:42.868Z	87	428 Wilcrest Dr, Houston, TX 77042	428-Wilcrest-Dr,-Houston,-TX-77042	2022-10-23T14:56:00.552Z	29.758377	2022-07-28T16:15:15.000Z	-95.578718	708103	209000	Townhouse	428 Wilcrest Dr, Houston, TX 77042		1740	TX	Active	1983	77042
10426 Iris Lake Ct	2	3	Houston	Harris County	2022-08-05T14:27:45.356Z	87	10426 Iris Lake Ct, Houston, TX 77070	10426-Iris-Lake-Ct,-Houston,-TX-77070	2022-10-23T14:56:00.551Z	29.963291	2022-07-28T19:14:26.000Z	-95.573842	5502	290000	Single Family	10426 Iris Lake Ct, Houston, TX 77070		1975	TX	Active	2006	77070
2514 Avalon Pl	6	5	Houston	Harris County	2022-08-05T14:29:42.861Z	87	2514 Avalon Pl, Houston, TX 77019	2514-Avalon-Pl,-Houston,-TX-77019	2022-10-23T14:56:00.551Z	29.746663	2022-07-28T16:50:36.000Z	-95.417452	7780	2995000	Single Family	2514 Avalon Pl, Houston, TX 77019		7051	TX	Active	2020	77019
840 Threadneedle St	2.5	4	Houston	Harris County	2022-07-28T17:00:33.324Z	87	840 Threadneedle St, Apt 208, Houston, TX 77079	840-Threadneedle-St,-Apt-208,-Houston,-TX-77079	2022-10-23T14:56:00.550Z	29.780141	2022-07-28T16:41:10.000Z	-95.611855	150124	270000	Townhouse	840 Threadneedle St Apt 208, Houston, TX 77079		2144	TX	Active	1970	77079
217 Birdsall St	3.5	3	Houston	Harris County	2022-08-05T14:29:42.848Z	87	217 Birdsall St, Unit A, Houston, TX 77007	217-Birdsall-St,-Unit-A,-Houston,-TX-77007	2022-10-23T14:56:00.550Z	29.763536	2022-07-28T18:12:04.000Z	-95.420501	1464	440000	Single Family	217 Birdsall St Unit A, Houston, TX 77007		2056	TX	Active	2005	77007
6955 Turtlewood Dr	1	1	Houston	Harris County	2022-08-05T14:29:42.852Z	87	6955 Turtlewood Dr, Unit 605, Houston, TX 77072	6955-Turtlewood-Dr,-Unit-605,-Houston,-TX-77072	2022-10-23T14:56:00.550Z	29.701013	2022-07-28T17:41:16.000Z	-95.566803	56869	351750	Condo	6955 Turtlewood Dr Unit 605, Houston, TX 77072		674	TX	Active	2019	77072
4841 Wilmington St	3	3	Houston	Harris County	2022-08-05T14:29:42.856Z	87	4841 Wilmington St, Houston, TX 77033	4841-Wilmington-St,-Houston,-TX-77033	2022-10-23T14:56:00.550Z	29.656276	2022-07-28T17:18:05.000Z	-95.350369	12001	410000	Single Family	4841 Wilmington St, Houston, TX 77033		3361	TX	Active	2014	77033
12418 Lightcliffe Dr	2.5	4	Houston	Harris County	2022-07-28T17:36:26.547Z	87	12418 Lightcliffe Dr, Houston, TX 77031	12418-Lightcliffe-Dr,-Houston,-TX-77031	2022-10-23T14:56:00.549Z	29.647427	2022-07-28T17:05:35.000Z	-95.53752	10062	299990	Single Family	12418 Lightcliffe Dr, Houston, TX 77031		2537	TX	Active	1976	77031
2416 Gray St	2.5	3	Houston	Harris County	2022-08-05T14:27:45.346Z	87	2416 Gray St, Houston, TX 77003	2416-Gray-St,-Houston,-TX-77003	2022-10-23T14:56:00.548Z	29.740984	2022-07-28T19:37:56.000Z	-95.358925		429000	Single Family	2416 Gray St, Houston, TX 77003		1528	TX	Active	2022	77003
12806 Discipline Ave	2	3	Houston	Harris County	2022-08-05T14:27:45.365Z	87	12806 Discipline Ave, Houston, TX 77014	12806-Discipline-Ave,-Houston,-TX-77014	2022-10-23T14:56:00.548Z	29.972693	2022-07-28T19:14:26.000Z	-95.473359	2679	118900	Single Family	12806 Discipline Ave, Houston, TX 77014		1170	TX	Active	2005	77014
1825 Maryland St	3.5	4	Houston	Harris County	2021-11-03T16:07:09.033Z	87	1825 Maryland St, Houston, TX 77006	1825-Maryland-St,-Houston,-TX-77006	2022-10-23T14:56:00.547Z	29.745638	2022-07-28T20:21:39.000Z	-95.401225	5401	1325000	Single Family	1825 Maryland St, Houston, TX 77006		2911	TX	Active	2022	77006
12918 Regal Oaks Bend Ln	2	3	Houston	Harris County	2022-03-24T14:54:35.240Z	87	12918 Regal Oaks Bend Ln, Houston, TX 77047	12918-Regal-Oaks-Bend-Ln,-Houston,-TX-77047	2022-10-23T14:56:00.547Z	29.619186	2022-07-28T21:06:10.000Z	-95.411661	4600	249000	Single Family	12918 Regal Oaks Bend Ln, Houston, TX 77047		1632	TX	Active	2007	77047
Junior St			Houston	Harris County	2022-09-05T14:21:16.631Z	87	Junior St, Houston, TX 77012	Junior-St,-Houston,-TX-77012	2022-10-23T14:56:00.547Z	29.7099	2022-07-28T21:32:53.000Z	-95.282206	5500	99000	Land	Junior St, Houston, TX 77012			TX	Active		77012
